abs_code,season,immunised,reference_population,immunisation_intensity_raw,immunisation_intensity,intensity_issue
336,2023-2024,210,122,1.72131147540984,0.94672131147541,valid
337,2023-2024,116,69,1.68115942028986,0.92463768115942,valid
338,2023-2024,202,121,1.66942148760331,0.918181818181818,valid
339,2023-2024,216,161,1.3416149068323,0.737888198757764,valid
340,2023-2024,254,165,1.53939393939394,0.846666666666667,valid
341,2023-2024,276,168,1.64285714285714,0.903571428571429,valid
342,2023-2024,378,213,1.77464788732394,0.976056338028169,valid
343,2023-2024,46,27,1.7037037037037,0.937037037037037,valid
344,2023-2024,142,81,1.75308641975309,0.964197530864198,valid
345,2023-2024,256,139,1.84172661870504,1.01294964028777,valid
346,2023-2024,52,28,1.85714285714286,1.02142857142857,valid
347,2023-2024,58,38,1.52631578947368,0.839473684210526,valid
348,2023-2024,218,132,1.65151515151515,0.908333333333333,valid
349,2023-2024,212,120,1.76666666666667,0.971666666666667,valid
350,2023-2024,322,190,1.69473684210526,0.932105263157895,valid
351,2023-2024,350,207,1.69082125603865,0.929951690821256,valid
352,2023-2024,140,94,1.48936170212766,0.819148936170213,valid
353,2023-2024,106,71,1.49295774647887,0.82112676056338,valid
354,2023-2024,82,47,1.74468085106383,0.959574468085106,valid
355,2023-2024,92,56,1.64285714285714,0.903571428571429,valid
356,2023-2024,316,184,1.71739130434783,0.944565217391304,valid
357,2023-2024,248,157,1.5796178343949,0.868789808917198,valid
358,2023-2024,230,139,1.65467625899281,0.910071942446043,valid
359,2023-2024,306,202,1.51485148514851,0.833168316831683,valid
360,2023-2024,318,201,1.58208955223881,0.870149253731343,valid
361,2023-2024,206,127,1.62204724409449,0.892125984251969,valid
362,2023-2024,134,79,1.69620253164557,0.932911392405063,valid
363,2023-2024,122,71,1.71830985915493,0.945070422535211,valid
364,2023-2024,130,83,1.56626506024096,0.86144578313253,valid
365,2023-2024,306,193,1.58549222797927,0.872020725388601,valid
366,2023-2024,236,158,1.49367088607595,0.821518987341772,valid
367,2023-2024,130,71,1.83098591549296,1.00704225352113,valid
368,2023-2024,292,172,1.69767441860465,0.933720930232558,valid
369,2023-2024,164,110,1.49090909090909,0.82,valid
370,2023-2024,90,59,1.52542372881356,0.838983050847458,valid
371,2023-2024,290,174,1.66666666666667,0.916666666666667,valid
372,2023-2024,226,128,1.765625,0.97109375,valid
373,2023-2024,44,27,1.62962962962963,0.896296296296296,valid
374,2023-2024,236,146,1.61643835616438,0.889041095890411,valid
375,2023-2024,164,97,1.69072164948454,0.929896907216495,valid
376,2023-2024,230,134,1.71641791044776,0.944029850746269,valid
377,2023-2024,124,76,1.63157894736842,0.897368421052632,valid
378,2023-2024,180,112,1.60714285714286,0.883928571428572,valid
379,2023-2024,224,133,1.68421052631579,0.926315789473684,valid
380,2023-2024,178,115,1.54782608695652,0.851304347826087,valid
383,2023-2024,172,107,1.60747663551402,0.88411214953271,valid
384,2023-2024,154,89,1.73033707865169,0.951685393258427,valid
385,2023-2024,232,139,1.66906474820144,0.917985611510791,valid
386,2023-2024,202,112,1.80357142857143,0.991964285714286,valid
387,2023-2024,152,83,1.83132530120482,1.00722891566265,valid
388,2023-2024,266,165,1.61212121212121,0.886666666666667,valid
389,2023-2024,228,136,1.67647058823529,0.922058823529412,valid
390,2023-2024,404,251,1.60956175298805,0.885258964143426,valid
391,2023-2024,108,70,1.54285714285714,0.848571428571429,valid
392,2023-2024,200,116,1.72413793103448,0.948275862068965,valid
393,2023-2024,174,119,1.46218487394958,0.804201680672269,valid
394,2023-2024,192,135,1.42222222222222,0.782222222222222,valid
395,2023-2024,330,191,1.72774869109948,0.950261780104712,valid
396,2023-2024,242,144,1.68055555555556,0.924305555555556,valid
397,2023-2024,142,119,1.19327731092437,0.656302521008403,valid
398,2023-2024,280,193,1.45077720207254,0.797927461139897,valid
399,2023-2024,122,75,1.62666666666667,0.894666666666667,valid
400,2023-2024,264,163,1.61963190184049,0.89079754601227,valid
401,2023-2024,226,131,1.72519083969466,0.948854961832061,valid
402,2023-2024,176,101,1.74257425742574,0.958415841584159,valid
403,2023-2024,260,155,1.67741935483871,0.92258064516129,valid
404,2023-2024,254,142,1.7887323943662,0.983802816901408,valid
405,2023-2024,136,92,1.47826086956522,0.81304347826087,valid
406,2023-2024,178,132,1.34848484848485,0.741666666666667,valid
408,2023-2024,120,69,1.73913043478261,0.956521739130435,valid
0,2024-2025,82,48,1.70833333333333,0.939583333333333,valid
1,2024-2025,102,53,1.92452830188679,1.05849056603774,valid
2,2024-2025,238,120,1.98333333333333,1.09083333333333,valid
3,2024-2025,116,62,1.87096774193548,1.02903225806452,valid
4,2024-2025,312,175,1.78285714285714,0.980571428571429,valid
5,2024-2025,166,88,1.88636363636364,1.0375,valid
7,2024-2025,88,51,1.72549019607843,0.949019607843137,valid
8,2024-2025,146,85,1.71764705882353,0.944705882352941,valid
9,2024-2025,246,134,1.83582089552239,1.00970149253731,valid
10,2024-2025,206,119,1.73109243697479,0.952100840336134,valid
