rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,error
53,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.540050617522651,-0.654992308732916,-0.425108926312385,0.0586437200052376,,,,,,,,,
53,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.368067676161331,-0.768287933743145,0.0321525814204823,0.204194008970313,,,,,,,,,
54,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-1.06924452508037,-1.41330580398635,-0.72518324617439,0.175541468829581,,,,,,,,,
54,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.759232651883946,-0.874867413977998,-0.643597889789894,0.0589973275990062,,,,,,,,,
54,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-1.06687091055233,-1.41098022873302,-0.722761592371645,0.175565978663615,,,,,,,,,
55,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.52464007948951,-0.770625399190088,-0.278654759788933,0.125502714132948,,,,,,,,,
55,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.445430914578391,-0.532746779948571,-0.358115049208211,0.0445489109031532,,,,,,,,,
55,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.514692328824522,-0.761647684044622,-0.267736973604422,0.125997630214337,,,,,,,,,
56,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.450405834391582,-0.812863727921288,-0.0879479408618766,0.18492749669883,,,,,,,,,
56,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.612050246143667,-0.707172445251297,-0.516928047036037,0.0485317342385869,,,,,,,,,
56,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.448516318939815,-0.810921662013999,-0.0861109758656311,0.184900685241931,,,,,,,,,
57,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.921770158014126,-1.13880325438661,-0.70473706164164,0.110731171618615,,,,,,,,,
57,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.478741744352771,-0.572911657711286,-0.384571830994255,0.0480458741625079,,,,,,,,,
57,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.917407644516267,-1.13443863098911,-0.700376658043426,0.110730095139204,,,,,,,,,
58,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.515912165481089,-0.680739252450338,-0.35108507851184,0.084095452535331,,,,,,,,,
58,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.341094287418888,-0.423813429471229,-0.258375145366546,0.0422036439042558,,,,,,,,,
58,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.51455111921252,-0.679457364169293,-0.349644874255748,0.0841358392636594,,,,,,,,,
